DateTime,Calsada,Bato,Buhi,Ombao,Camaligan,Balongay,Sipocot
2024-10-29 09,1.63,NaN,0.90,5.53,1.37,NaN,0.18 
2024-10-29 10,1.63,NaN,0.89,5.52,1.32,NaN,0.18 
2024-10-29 11,1.62,NaN,0.89,5.50,1.27,NaN,0.18 
2024-10-29 12,1.62,NaN,0.89,5.49,1.23,NaN,0.18 
2024-10-29 13,1.62,NaN,0.88,5.47,1.20,NaN,0.17 
2024-10-29 14,1.61,NaN,0.88,5.45,1.21,NaN,0.17 
2024-10-29 15,1.60,NaN,0.88,5.43,1.25,NaN,0.16 
2024-10-29 16,1.59,NaN,0.87,5.42,1.31,NaN,0.16 
2024-10-29 17,1.60,NaN,0.87,5.40,1.36,NaN,0.15 
2024-10-29 18,1.60,NaN,0.87,5.38,1.37,NaN,0.15 
2024-10-29 19,1.59,NaN,0.86,5.37,1.36,NaN,0.15 
2024-10-29 20,1.57,NaN,0.86,5.35,1.32,NaN,0.15 
2024-10-29 21,1.57,NaN,0.86,5.34,1.25,NaN,0.14 
2024-10-29 22,1.59,NaN,0.85,5.32,1.20,NaN,0.14 
2024-10-29 23,1.59,NaN,0.85,5.32,1.20,NaN,0.14 
2024-10-30 00,1.57,NaN,0.85,5.31,1.14,NaN,0.13 
2024-10-30 01,1.57,NaN,0.85,5.30,1.08,NaN,0.13 
2024-10-30 02,1.56,NaN,0.85,5.28,1.04,NaN,0.12 
2024-10-30 03,1.56,NaN,0.84,5.26,1.03,NaN,0.12 
2024-10-30 04,1.56,NaN,0.84,5.24,1.08,NaN,0.11 
2024-10-30 05,1.56,NaN,0.83,5.23,1.16,NaN,0.11 
2024-10-30 06,1.56,NaN,0.83,5.21,1.21,NaN,0.11 
2024-10-30 07,1.56,NaN,0.83,5.19,1.24,NaN,0.11 
2024-10-30 08,1.55,NaN,0.83,5.17,1.23,NaN,0.11 
2024-10-30 09,1.57,NaN,0.82,5.13,1.12,NaN,0.10 
2024-10-30 10,1.56,NaN,0.82,5.11,1.04,NaN,0.10 
2024-10-30 11,1.56,NaN,0.81,5.10,0.97,NaN,0.09 
2024-10-30 12,1.55,NaN,0.81,5.07,0.91,NaN,0.09 
2024-10-30 13,1.54,NaN,0.81,5.05,0.87,NaN,0.09 
2024-10-30 14,1.52,NaN,0.80,5.04,0.87,NaN,0.09 
2024-10-30 15,1.50,NaN,0.80,5.02,0.97,NaN,0.08 
2024-10-30 16,1.48,NaN,0.80,5.00,1.09,NaN,0.08 
2024-10-30 17,1.48,NaN,0.79,4.98,1.15,NaN,0.07 
2024-10-30 18,1.48,NaN,0.79,4.96,1.19,NaN,0.07 
2024-10-30 19,1.49,NaN,0.79,4.95,1.18,NaN,0.07 
2024-10-30 20,1.50,NaN,0.78,4.93,1.12,NaN,0.07 
2024-10-30 21,1.49,NaN,0.78,4.91,1.03,NaN,0.07 
2024-10-30 22,1.47,NaN,0.78,4.90,0.93,NaN,0.06 
2024-10-30 23,1.48,NaN,0.78,4.88,0.83,NaN,0.05 
2024-10-31 00,1.47,NaN,0.78,4.86,0.76,NaN,0.05 
2024-10-31 01,1.46,NaN,0.77,4.84,0.69,NaN,0.05 
2024-10-31 02,1.46,NaN,0.77,4.83,0.67,NaN,0.04 
2024-10-31 03,1.47,NaN,0.77,4.81,0.74,NaN,0.04 
2024-10-31 04,1.46,NaN,0.76,4.79,0.88,NaN,0.03 
2024-10-31 05,1.47,NaN,0.76,4.78,0.98,NaN,0.03 
2024-10-31 06,1.46,NaN,0.76,4.76,1.04,NaN,0.03 
2024-10-31 07,1.46,NaN,0.76,4.73,1.06,NaN,0.04 
2024-10-31 08,1.50,NaN,0.76,4.72,1.04,NaN,0.04 
2024-10-31 09,1.50,NaN,0.75,4.71,0.93,NaN,0.04 
2024-10-31 10,1.47,NaN,0.75,4.70,0.80,NaN,0.04 
2024-10-31 11,1.44,NaN,0.75,4.68,0.69,NaN,0.04 
2024-10-31 12,1.42,NaN,0.75,4.67,0.60,NaN,0.03 
2024-10-31 13,1.39,NaN,0.74,4.65,0.55,NaN,0.03 
2024-10-31 14,1.38,NaN,0.74,4.63,0.55,NaN,0.03 
2024-10-31 15,1.37,NaN,0.74,4.61,0.68,NaN,0.02 
2024-10-31 16,1.39,NaN,0.74,4.60,0.88,NaN,0.02 
2024-10-31 17,1.38,NaN,0.74,4.59,1.02,NaN,0.02 
2024-10-31 18,1.37,NaN,0.74,4.58,1.10,NaN,0.02 
2024-10-31 19,1.37,NaN,0.73,4.58,1.10,NaN,0.02 
2024-10-31 20,1.37,NaN,0.73,4.57,1.02,NaN,0.02 
2024-10-31 21,1.37,NaN,0.73,4.57,0.89,NaN,0.02 
2024-10-31 22,1.37,NaN,0.73,4.56,0.75,NaN,0.02 
2024-10-31 23,1.38,NaN,0.72,4.56,0.63,NaN,0.01 
2024-11-01 00,1.39,NaN,0.72,4.55,0.52,NaN,0.01 
2024-11-01 01,1.38,NaN,0.72,4.54,0.46,NaN,0 
2024-11-01 02,1.37,NaN,0.72,4.53,0.41,NaN,0 
2024-11-01 03,1.36,NaN,0.72,4.53,0.39,NaN,-0.01 
2024-11-01 04,1.36,NaN,0.71,4.52,0.65,NaN,-0.01 
2024-11-01 05,1.36,NaN,0.71,4.5,0.85,NaN,-0.01 
2024-11-01 06,1.35,NaN,0.71,4.49,0.94,NaN,-0.01 
2024-11-01 07,1.35,NaN,0.71,4.48,0.97,NaN,-0.01 
2024-11-01 08,1.35,NaN,0.7,4.47,0.96,NaN,-0.01 
2024-11-01 09,1.35,NaN,0.7,4.46,0.86,NaN,-0.01 
2024-11-01 10,1.34,NaN,0.7,4.45,0.69,NaN,-0.01 
2024-11-01 11,1.33,NaN,0.7,4.44,0.54,NaN,-0.01 
2024-11-01 12,1.33,NaN,0.69,4.42,0.45,NaN,-0.02 
2024-11-01 13,1.33,NaN,0.69,4.41,0.36,NaN,-0.02 
2024-11-01 14,1.32,NaN,0.69,4.4,0.3,NaN,-0.02 
2024-11-01 15,1.32,NaN,0.69,4.39,0.34,NaN,-0.03 
2024-11-01 16,1.31,NaN,0.69,4.38,0.76,NaN,-0.03 
2024-11-01 17,1.3,NaN,0.69,4.37,0.95,NaN,-0.02 
2024-11-01 18,1.3,NaN,0.69,4.36,1.03,NaN,-0.02 
2024-11-01 19,1.3,NaN,0.69,4.34,1.04,NaN,-0.01 
2024-11-01 20,1.3,NaN,0.68,4.33,0.99,NaN,0 
2024-11-01 21,1.3,NaN,0.68,4.32,0.84,NaN,0.01 
2024-11-01 22,1.3,NaN,0.68,4.31,0.68,NaN,0.02 
2024-11-01 23,1.3,NaN,0.68,4.3,0.51,NaN,0.04 
2024-11-02 00,1.3,NaN,0.68,4.28,0.41,NaN,0.05 
2024-11-02 01,1.3,NaN,0.68,4.27,0.29,NaN,0.06 
2024-11-02 02,1.3,NaN,0.68,4.26,0.2,NaN,0.05 
2024-11-02 03,1.3,NaN,0.68,4.25,0.16,NaN,0.04 
2024-11-02 04,1.29,NaN,0.68,4.24,0.25,NaN,0.03 
2024-11-02 05,1.29,NaN,0.68,4.23,0.71,NaN,0.02 
2024-11-02 06,1.28,NaN,0.67,4.22,0.86,NaN,0.02 
2024-11-02 07,1.29,NaN,0.67,4.2,0.92,NaN,0.01 
2024-11-02 08,1.28,NaN,0.68,4.19,0.92,NaN,0 
2024-11-02 09,1.28,NaN,0.68,4.18,0.87,NaN,-0.01 
2024-11-02 10,1.27,NaN,0.68,4.17,0.72,NaN,-0.01 
